Avg_Mort,Lat,Lon,Country,Avg_GDP
122,38.963745,35.243322,Turkey,64600
208,38.969719,59.556278,Turkmenistan,2182
404,1.373333,32.290275,Uganda,1664
239,48.379433,31.16558,Ukraine,10900
87,23.424076,53.847818,United Arab Emirates,27000
121,-32.522779,-55.765835,Uruguay,3588
158,41.377491,64.585262,Uzbekistan,4000
154,-15.376706,166.959158,Vanuatu,60
239,15.552727,48.516388,Yemen,2502
447,-13.133897,27.849332,Zambia,1635
549,-19.015438,29.154857,Zimbabwe,1253
133,14.058324,108.277199,Vietnam,11700
167,6.4238,66.5897,Venezuela,24500
77,55.3781,3.436,United Kingdom,253000
110,37.09024,-95.712891,United States,1490000
