Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Latitude,Longitude
Afghanistan,AFG,0.17488866,0.183110897,0.159555548,0.173333326,0.21555555,0.236666662,0.255555557,0.295333342,0.330000011,0.369794041,0.364172332,0.347878791,,,,,,,,,,,,,,,,,,,,,0.405517693,0.451556341,0.522677516,0.620914004,0.697128673,0.97478861,1.010921807,1.243908708,1.585657473,1.780428054,2.000161579,2.056105409,2.048487323,1.990711142,1.936264227,2.019176494,1.936296958,,33.93911,67.709953
Albania,ALB,,,,,,,,,,,,,,,0.185733801,0.189705013,0.209732625,0.208079625,0.205123625,0.225309,0.202855375,0.109955903,0.065217499,0.118531547,0.188095152,0.239276485,0.319964258,0.225851561,0.254596725,0.321211904,0.348035519,0.392209947,0.434807017,0.561149228,0.71846814,0.805207564,0.889607394,1.067732149,1.288135398,1.204422346,1.192696283,1.289086754,1.23197847,1.277627765,1.322824434,1.138692768,1.186135375,1.302506497,1.51025009,,41.153332,20.168331
Algeria,DZA,0.486348749,0.507722237,0.676178639,0.871510593,1.320971364,1.555793427,1.772834737,2.097190127,2.636449131,3.324342216,4.234527734,4.434867267,4.520708872,4.88013698,5.369827891,5.793786867,6.369630189,6.674226777,5.908906719,5.56314898,6.204509964,4.571536709,4.800329822,4.994645521,4.254257131,4.176405246,4.694149678,4.81778625,4.818774753,4.863910836,5.478607494,5.474324937,5.67581135,6.786614122,8.532476723,10.31984421,11.70309416,13.49787278,17.09975411,13.72148212,16.12050655,20.00153555,20.90628869,20.97547639,21.38088087,16.59784252,16.00329304,16.73902661,17.37579528,,28.033886,1.659626
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,0.0527,0.0512,0.0503,0.0496,0.052,0.0563,0.0678,0.0576,0.0574,0.0644,0.0641,0.0642,0.0661,0.0652,0.0602,0.0636,,-14.270972,-170.132217
Andorra,AND,0.007861921,0.008940982,0.011340823,0.01508201,0.01865587,0.022012725,0.022728102,0.025402015,0.03080089,0.041157833,0.044641611,0.038895873,0.037589596,0.032786183,0.033007069,0.034673796,0.048200059,0.06113164,0.072142594,0.079544933,0.102904848,0.110692858,0.121001365,0.100702576,0.101754912,0.117873899,0.122394536,0.118059727,0.12119324,0.123987631,0.14344297,0.149691275,0.173311688,0.23986456,0.29356593,0.325578908,0.354325681,0.401697235,0.400735316,0.36605307,0.335569536,0.344206283,0.316461519,0.328158524,0.335073637,0.281148941,0.287731195,0.301338742,0.323654391,,42.506285,1.521801
Angola,AGO,,,,,,,,,,,0.59305034,0.555048304,0.555048304,0.57843416,0.613147507,0.755356046,0.707206335,0.808387201,0.876925055,1.020109904,1.122876496,1.060378454,0.830781097,0.576872042,0.443832102,0.553874926,0.752644661,0.764837741,0.650622961,0.615292294,0.912959482,0.893606372,1.528559483,1.781270529,2.355205241,3.69709187,5.238100689,6.526645208,8.853861121,7.030716368,8.379949661,11.17896865,12.80528536,13.67098628,14.57122003,11.61936491,10.11238511,12.21238223,10.57509876,,-11.202692,17.873887
Antigua and Barbuda,ATG,,,,,,,,0.007749675,0.008787934,0.010907998,0.013143103,0.014784173,0.016436928,0.018214409,0.020837285,0.024092392,0.029044014,0.033717486,0.039863773,0.043879479,0.045946906,0.048170633,0.049928115,0.053517278,0.058942959,0.057728074,0.063373063,0.068061711,0.072786059,0.076619893,0.083015878,0.080074026,0.081461533,0.085564311,0.091957715,0.10221913,0.115700544,0.131140133,0.136843104,0.1224253,0.11487,0.113763704,0.119994815,0.118144815,0.124973333,0.133669259,0.143658519,0.146797778,0.161057407,,17.060816,-61.796428
Argentina,ARG,3.158421037,3.32931991,3.473300054,5.254400012,7.243677734,5.243864792,5.116949989,5.67810001,5.808287016,6.925232895,7.696192374,7.867684237,8.430748684,10.39791068,7.9092002,8.84166689,11.09344428,11.11061914,12.62068172,7.663689804,14.13523687,18.97199843,22.87886172,23.6741715,25.744,25.803175,27.214975,29.2859,29.894825,28.3523,28.420375,26.869675,9.772400425,12.75869735,16.46579305,19.8737095,23.25572608,28.75305084,36.15580371,33.29764846,42.36274221,53.01632816,54.59823757,55.20251403,52.63196737,59.47492854,55.75313762,64.26958648,51.98715198,,-38.416097,-63.616672
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,0.225683886,0.206852652,0.127257746,0.12013132,0.131515867,0.146831735,0.159696891,0.163949242,0.189372644,0.184548218,0.191156367,0.211846791,0.237633505,0.280706101,0.357661524,0.490046995,0.638445161,0.92063017,1.166204071,0.864793675,0.926028494,1.014211133,1.061932005,1.112146577,1.160951294,1.055333767,1.054613516,1.152745857,1.243308992,,40.069099,45.038189
Aruba,ABW,,,,,,,,,,,,,,,,,0.040546342,0.048760246,0.059642361,0.069530436,0.076488712,0.087213873,0.09584632,0.108297971,0.124568825,0.132047486,0.137996089,0.153194413,0.166510056,0.172279888,0.187345251,0.192011173,0.194134078,0.202122905,0.222849162,0.233072626,0.242458101,0.26150838,0.27452514,0.249888268,0.239050279,0.254972067,0.253463687,0.258156425,0.264972067,0.269162011,0.264692737,0.270055866,,,12.52111,-69.968338
