Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,0.174888659555556,0.18311089711111103,0.15955554755555598,0.17333332644444402,0.215555549777778,0.23666666155555602,0.25555555666666696,0.295333341777778,0.330000010888889,0.36979404096109797,0.364172332199546,0.347878790909091,,,,,,,,,,,,,,,,,,,,,0.405517693336905,0.45155634138256395,0.522677516330205,0.620914004400519,0.697128673172065,0.9747886104532509,1.01092180677904,1.2439087076766702,1.58565747314411,1.78042805381102,2.00016157886719,2.05610540903995,2.04848732302111,1.9907111418993801,1.93626422666484,2.01917649401602,1.93629695823643,
Albania,ALB,,,,,,,,,,,,,,,0.18573380118548802,0.189705013342015,0.209732625,0.208079625,0.205123625,0.225309,0.202855375,0.109955902777778,0.0652174990837304,0.118531546846295,0.18809515203972002,0.23927648534210702,0.319964257996974,0.22585156100886197,0.25459672532416,0.32121190441708897,0.348035518860063,0.392209947097313,0.43480701651926096,0.561149228286582,0.71846813985698,0.8052075642107809,0.889607393831407,1.06773214903807,1.2881353984642598,1.20442234578287,1.19269628349645,1.28908675355568,1.23197847013346,1.27762776489159,1.32282443363241,1.13869276790875,1.18613537520672,1.30250649665784,1.5102500898238,
Algeria,DZA,0.486348749265763,0.507722236697472,0.676178638654713,0.8715105930491008,1.3209713643321899,1.55579342684965,1.7728347374994,2.0971901273271,2.63644913134471,3.32434221576311,4.23452773420195,4.434867266787149,4.52070887156483,4.88013698003675,5.369827890596779,5.79378686701937,6.3696301892811595,6.67422677731959,5.908906718739431,5.56314898015508,6.20450996427774,4.57153670871001,4.80032982231178,4.9946455210966,4.25425713055136,4.17640524578814,4.69414967798499,4.81778625019495,4.8187747528899,4.86391083606213,5.478607494020729,5.474324936864599,5.67581135011671,6.78661412235933,8.53247672304939,10.319844206107598,11.7030941571939,13.4978727825851,17.0997541140985,13.7214821177358,16.120506546930898,20.001535552847,20.9062886917045,20.975476386068,21.3808808746696,16.5978425168386,16.0032930353764,16.7390266100763,17.375795282425,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,0.0527,0.0512,0.0503,0.0496,0.052,0.0563,0.0678,0.0576,0.0574,0.0644,0.0641,0.0642,0.0661,0.0652,0.0602,0.0636,
Andorra,AND,0.00786192060850963,0.00894098203592814,0.011340823194408501,0.0150820102798401,0.0186558696279204,0.0220127246376812,0.0227281024620741,0.0254020153340635,0.0308008897569444,0.0411578334159643,0.0446416105825017,0.0388958731302938,0.0375895956383462,0.032786183294663596,0.033007068929828194,0.0346737964774951,0.048200059403588,0.061131639940708804,0.07214259391515501,0.0795449332396346,0.102904848188051,0.110692858286629,0.121001365187713,0.100702575500065,0.101754912433238,0.117873899119295,0.12239453566268199,0.11805972727272698,0.12119323978171301,0.123987630513531,0.143442970333518,0.149691275167785,0.17331168831168803,0.239864559819413,0.293565929972684,0.32557890809600804,0.35432568059214703,0.40169723514919203,0.40073531565841497,0.366053070297305,0.335569536423841,0.344206283013622,0.316461518694591,0.32815852363250103,0.335073636725488,0.281148940889431,0.287731194690265,0.301338742393509,0.323654390934844,
Angola,AGO,,,,,,,,,,,0.593050340083228,0.5550483035908149,0.5550483035908149,0.578434159636339,0.613147506523832,0.7553560459104279,0.707206334544786,0.8083872012473259,0.876925054973596,1.02010990395655,1.1228764963161801,1.0603784541196999,0.830781097358848,0.576872042161367,0.44383210173906795,0.553874925994714,0.7526446605517121,0.7648377412832771,0.650622960729432,0.615292294298032,0.912959481860749,0.893606372320121,1.5285594828418,1.7812705294325,2.3552052407548802,3.6970918699252295,5.238100689203799,6.526645208138599,8.85386112051433,7.030716367823799,8.379949661120039,11.1789686464441,12.8052853643106,13.670986283119401,14.571220031250501,11.6193649124151,10.1123851090455,12.2123822333591,10.575098761863,
Antigua and Barbuda,ATG,,,,,,,,0.00774967537037037,0.008787934148148149,0.010907997888888899,0.0131431026666667,0.0147841734444444,0.016436927888888897,0.018214409296296297,0.0208372846296296,0.024092392481481498,0.0290440140740741,0.0337174861851852,0.0398637727777778,0.0438794788518519,0.045946905888888896,0.0481706333333333,0.04992811481481481,0.0535172777777778,0.0589429592592593,0.0577280740740741,0.063373062962963,0.0680617111111111,0.0727860592592593,0.0766198925925926,0.0830158777777778,0.0800740259259259,0.08146153333333331,0.08556431111111111,0.09195771481481481,0.10221912962963,0.11570054444444401,0.13114013333333302,0.136843103703704,0.1224253,0.11487,0.113763703703704,0.119994814814815,0.118144814814815,0.12497333333333302,0.13366925925925902,0.143658518518519,0.146797777777778,0.161057407407407,
Argentina,ARG,3.1584210365544703,3.32931990954881,3.4733000536286203,5.25440001169037,7.24367773424554,5.24386479219226,5.11694998907722,5.6781000100944805,5.808287015626339,6.92523289533789,7.69619237419478,7.86768423664213,8.4307486836724,10.3979106777911,7.9092001998032,8.84166689002596,11.0934442762694,11.110619135819698,12.6206817196091,7.663689803647121,14.1352368714691,18.971998426848497,22.878861720169603,23.6741715015015,25.744,25.803175,27.214975,29.2859,29.894825,28.3523,28.420375,26.869675,9.772400425186019,12.758697349217698,16.465793045278698,19.8737095012282,23.255726081730803,28.753050843056798,36.1558037110419,33.297648457761895,42.362742209249,53.01632815746579,54.5982375701128,55.202514025224595,52.631967373163796,59.474928541321205,55.753137621796704,64.269586475635,51.9871519807795,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,0.22568388584271398,0.206852652190299,0.127257745612712,0.12013132010127199,0.131515867028285,0.146831735006841,0.159696891327897,0.163949242436472,0.18937264372646198,0.18454821814480102,0.19115636653900603,0.211846791337873,0.23763350483997603,0.280706100869084,0.357661524041616,0.49004699500903304,0.6384451606142101,0.9206301700396191,1.16620407138753,0.8647936747987042,0.9260284937797821,1.01421113344961,1.0619320048585699,1.11214657674067,1.1609512939754298,1.05533376729872,1.0546135160031,1.15274585657334,1.24330899190459,
Aruba,ABW,,,,,,,,,,,,,,,,,0.040546341711746,0.0487602457746416,0.0596423607114715,0.0695304363031101,0.0764887117194486,0.0872138730754587,0.0958463200205402,0.10829797076556599,0.124568825310539,0.13204748603352,0.137996089385475,0.153194413407821,0.166510055865922,0.17227988826815602,0.187345251396648,0.192011173184358,0.19413407821229103,0.202122905027933,0.222849162011173,0.23307262569832396,0.242458100558659,0.26150837988826797,0.27452513966480396,0.249888268156425,0.23905027932960896,0.254972067039106,0.253463687150838,0.258156424581006,0.26497206703910603,0.26916201117318395,0.264692737430168,0.27005586592178804,,
Australia,AUS,4.12711389853287,4.5149512823384494,5.19672897196262,6.37373478539398,8.8831245394252,9.71705585142701,10.4921215177108,11.0201881165405,11.8338596886984,13.471202998977601,14.977493036211701,17.6642284918147,19.3770274743462,17.7030416471689,19.3242166274226,18.023471657589898,18.2036933407946,18.906034939121202,23.565919674039602,29.9267974920609,31.0777222008465,32.531041519504,32.487887410597494,31.1544406970208,32.221169145624394,36.7216364716365,40.0302731411229,43.4568007512913,39.8899138574239,38.860822158165206,41.5222633925768,37.8376086723194,39.4648911678526,46.64880605707629,61.24903969270171,69.3407758231845,74.6054207846661,85.309963099631,105.399552372426,92.7805183330879,114.613846560381,139.66499063393502,154.615178387296,157.618446701549,146.748370513174,135.16939845245,120.884699373999,133.01357568444098,143.390434850012,
Austria,AUT,1.5373005768721901,1.78584859566031,2.20596124174058,2.9515467987912003,3.51892999852768,4.0059206763056,4.29599760681138,5.15457592207143,6.20522586942102,7.39372966546577,8.20589124654329,7.10342280974598,7.12752873275793,7.21210166232572,6.798534516195581,6.93867744745943,9.903616520955389,12.4168442860253,13.333939708012899,13.3105805928237,16.6463386663439,17.3794177725398,19.5078126346106,19.037972092748102,20.3535242741838,24.1038283062645,23.7250948791266,21.2790348404555,21.825990440195604,21.718578734285103,19.6799778883361,19.7337879194631,21.3377771503858,26.169577878103798,30.090422150484198,31.5974418604651,33.5998557270104,38.8691445387353,43.0294287388311,40.0172297860517,39.189274654469,43.112031008882,40.942523415526296,43.0068712971867,44.199613173650796,38.1817565893574,39.522768413886205,41.728290075804296,45.5285818035125,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,0.8858006035915659,0.8792365810509399,0.49913504575424994,0.397095339551544,0.33139395535418,0.305246752236104,0.317670309230412,0.396273525721455,0.44463703711502295,0.4581246713320661,0.5272617196045171,0.57077203908515,0.623585681958445,0.7276013031969051,0.8680370408059429,1.32457160990057,2.09829863443027,3.30503437827759,4.8852482960077905,4.42914904205026,5.2902703376105595,6.59516272002026,6.9683935845213805,7.416443594646271,7.5244294275149795,5.30744680851064,3.78675189571975,4.08655589123867,4.69395294117647,
"Bahamas, The",BHS,0.053842315369261505,0.05734,0.05909,0.06709,0.06324,0.05962,0.06421,0.0713,0.08324,0.11398001,0.13353,0.14265,0.15783,0.17328,0.20411,0.23206999,0.24725,0.27139999,0.28179,0.3062,0.3166,0.311116,0.3109,0.3092,0.3259,0.3429,0.3609,0.633236,0.683322,0.768387,0.807647,0.831783,0.888116,0.887009,0.905529,0.98362,1.016725,1.061834,1.0526,0.998196,1.009576,1.007045,1.07205,1.05627,1.09133,1.17523,1.19384,1.21504,1.24245,
